Log Parser Key||ECS field||ECS type
parse.error||rsa.parse.error||string
payload.req||rsa.payload.req||integer
payload.res||rsa.payload.res||integer
payload||rsa.payload.size||integer
msg||rsa.msg.data||string
rid||rsa.rid||integer
size||rsa.size||integer
sourcefile||rsa.sourcefile||string
session.split||rsa.session.split||string
ubc.req||rsa.ubc.req||integer
ubc.res||rsa.ubc.res||integer
process.vid.src||rsa.process.vid.src||string
process.vid.dst||rsa.process.vid.dst||string
word||rsa.word||string
disk_volume||storage.disk.volume||string
lun||storage.lun||string
pwwn||storage.pwwn||string
alert||threat.alert||string
threat_name||threat.category||string
threat_val||threat.desc||string
threat_source||threat.source||string
event_time||event.time||string
event_time_string||event.time||string
duration_string||time.duration.str||string
duration||time.duration.sec||float
effective_time||time.effective.time||string
endtime||time.endtime||string
event_queue_time||time.event.queue.time||string
expiration_time||time.expire.timestamp||string
expiration_time_string||time.expire.time.str||string
recorded_time||time.recorded.time||string
starttime||time.starttime||string
timezone||time.timezone||string
cctld||url.top_level_domain||string
dns.resptext||dns.answers.name||string
dns.responsetype||dns.answers.type||string
fqdn||dns.fqdn||string
web_referer||http.request.referrer||string
referer||http.request.referrer||string
reputation_num||http.reputation.num||float
web_root||url.path||string
sld||url.registered_domain||string
tld||url.top_level_domain||string
url||url.original||string
query||url.query||string
web_query||url.query||string
web_cookie||http.cookie||string
webpage||http.response.body.content||string
web_ref_domain||http.referrer.domain||string
web_ref_query||http.referrer.query||string
web_ref_root||http.referrer.path||string
web_ref_page||http.referrer.body.content||string
web_domain||url.domain||string
access_point||wireless.access.point||string
ssid||wireless.wlan.ssid||string
bssid||wireless.wlan.bssid||string
wifi_channel||wireless.wlan.channel||integer
wlan||wireless.wlan.name||string
ad_computer_dst||deprecated.ad.computer.dst||string
alert_id||deprecated.alert.id||string
child_pid||deprecated.child.pid||integer
child_pid_val||deprecated.child.pid.val||string
ddomain||deprecated.ddomain||string
dtransaddr||deprecated.dtransaddr||string
dtransport||deprecated.dtransport||integer
macaddr||deprecated.eth.host||string
hostip||deprecated.ip.addr||string
dport||deprecated.ip.dstport||integer
sport||deprecated.ip.srcport||integer
hostip_v6||deprecated.ipv6.addr||string
network_port||deprecated.network.port||integer
orig_ip||deprecated.orig_ip||string
